id_calendario,data_completa,dia_semana,dia,mes,trimestre,ano
1,2025-05-04,Domingo,4,5,2,2025
2,2025-08-28,Quinta-feira,28,8,3,2025
3,2025-11-01,Sábado,1,11,4,2025
4,2025-10-16,Quinta-feira,16,10,4,2025
5,2025-03-15,Sábado,15,3,1,2025
6,2025-10-14,Terça-feira,14,10,4,2025
7,2025-06-09,Segunda-feira,9,6,2,2025
8,2025-02-21,Sexta-feira,21,2,1,2025
9,2025-02-04,Terça-feira,4,2,1,2025
10,2025-09-30,Terça-feira,30,9,3,2025
11,2025-01-06,Segunda-feira,6,1,1,2025
12,2025-02-01,Sábado,1,2,1,2025
13,2025-07-25,Sexta-feira,25,7,3,2025
14,2025-09-24,Quarta-feira,24,9,3,2025
15,2025-10-01,Quarta-feira,1,10,4,2025
16,2025-10-04,Sábado,4,10,4,2025
17,2025-08-06,Quarta-feira,6,8,3,2025
18,2025-05-12,Segunda-feira,12,5,2,2025
19,2025-02-28,Sexta-feira,28,2,1,2025
20,2025-08-09,Sábado,9,8,3,2025
21,2025-03-02,Domingo,2,3,1,2025
22,2025-03-01,Sábado,1,3,1,2025
23,2025-08-17,Domingo,17,8,3,2025
24,2025-04-04,Sexta-feira,4,4,2,2025
25,2025-10-17,Sexta-feira,17,10,4,2025
26,2025-03-17,Segunda-feira,17,3,1,2025
27,2025-09-22,Segunda-feira,22,9,3,2025
28,2025-08-14,Quinta-feira,14,8,3,2025
29,2025-04-24,Quinta-feira,24,4,2,2025
30,2025-10-21,Terça-feira,21,10,4,2025
31,2025-04-29,Terça-feira,29,4,2,2025
32,2025-05-27,Terça-feira,27,5,2,2025
33,2025-03-11,Terça-feira,11,3,1,2025
34,2025-03-14,Sexta-feira,14,3,1,2025
35,2025-08-21,Quinta-feira,21,8,3,2025
36,2025-07-07,Segunda-feira,7,7,3,2025
37,2025-05-06,Terça-feira,6,5,2,2025
38,2025-04-08,Terça-feira,8,4,2,2025
39,2025-03-06,Quinta-feira,6,3,1,2025
40,2025-02-03,Segunda-feira,3,2,1,2025
41,2025-09-06,Sábado,6,9,3,2025
42,2025-07-17,Quinta-feira,17,7,3,2025
43,2025-05-14,Quarta-feira,14,5,2,2025
44,2025-09-14,Domingo,14,9,3,2025
45,2025-10-08,Quarta-feira,8,10,4,2025
46,2025-07-18,Sexta-feira,18,7,3,2025
47,2025-09-21,Domingo,21,9,3,2025
48,2025-06-04,Quarta-feira,4,6,2,2025
49,2025-11-07,Sexta-feira,7,11,4,2025
50,2025-10-07,Terça-feira,7,10,4,2025
51,2025-06-01,Domingo,1,6,2,2025
52,2025-09-02,Terça-feira,2,9,3,2025
53,2025-07-19,Sábado,19,7,3,2025
54,2025-04-05,Sábado,5,4,2,2025
55,2025-02-18,Terça-feira,18,2,1,2025
56,2025-03-12,Quarta-feira,12,3,1,2025
57,2025-04-26,Sábado,26,4,2,2025
58,2025-09-25,Quinta-feira,25,9,3,2025
59,2025-07-05,Sábado,5,7,3,2025
60,2025-10-24,Sexta-feira,24,10,4,2025
61,2025-03-05,Quarta-feira,5,3,1,2025
62,2025-08-08,Sexta-feira,8,8,3,2025
63,2025-04-21,Segunda-feira,21,4,2,2025
64,2025-07-04,Sexta-feira,4,7,3,2025
65,2025-09-17,Quarta-feira,17,9,3,2025
66,2025-09-19,Sexta-feira,19,9,3,2025
67,2025-01-09,Quinta-feira,9,1,1,2025
68,2025-05-24,Sábado,24,5,2,2025
69,2025-06-15,Domingo,15,6,2,2025
70,2025-05-25,Domingo,25,5,2,2025
71,2025-01-25,Sábado,25,1,1,2025
72,2025-07-27,Domingo,27,7,3,2025
73,2025-09-08,Segunda-feira,8,9,3,2025
74,2025-02-10,Segunda-feira,10,2,1,2025
75,2025-10-19,Domingo,19,10,4,2025
76,2025-04-01,Terça-feira,1,4,2,2025
77,2025-05-11,Domingo,11,5,2,2025
78,2025-10-20,Segunda-feira,20,10,4,2025
79,2025-06-29,Domingo,29,6,2,2025
80,2025-08-11,Segunda-feira,11,8,3,2025
81,2025-11-06,Quinta-feira,6,11,4,2025
82,2025-06-03,Terça-feira,3,6,2,2025
83,2025-01-17,Sexta-feira,17,1,1,2025
84,2025-06-02,Segunda-feira,2,6,2,2025
85,2025-01-10,Sexta-feira,10,1,1,2025
86,2025-02-16,Domingo,16,2,1,2025
87,2025-04-02,Quarta-feira,2,4,2,2025
88,2025-05-23,Sexta-feira,23,5,2,2025
89,2025-10-09,Quinta-feira,9,10,4,2025
90,2025-08-01,Sexta-feira,1,8,3,2025
91,2025-04-06,Domingo,6,4,2,2025
92,2025-09-28,Domingo,28,9,3,2025
93,2025-02-07,Sexta-feira,7,2,1,2025
94,2025-03-18,Terça-feira,18,3,1,2025
95,2025-07-01,Terça-feira,1,7,3,2025
96,2025-07-12,Sábado,12,7,3,2025
97,2025-11-03,Segunda-feira,3,11,4,2025
98,2025-10-03,Sexta-feira,3,10,4,2025
99,2025-03-09,Domingo,9,3,1,2025
100,2025-09-20,Sábado,20,9,3,2025
101,2025-01-03,Sexta-feira,3,1,1,2025
102,2025-07-10,Quinta-feira,10,7,3,2025
103,2025-07-31,Quinta-feira,31,7,3,2025
104,2025-04-03,Quinta-feira,3,4,2,2025
105,2025-03-13,Quinta-feira,13,3,1,2025
106,2025-06-18,Quarta-feira,18,6,2,2025
107,2025-10-29,Quarta-feira,29,10,4,2025
108,2025-05-16,Sexta-feira,16,5,2,2025
109,2025-01-31,Sexta-feira,31,1,1,2025
110,2025-03-31,Segunda-feira,31,3,1,2025
111,2025-01-15,Quarta-feira,15,1,1,2025
112,2025-08-12,Terça-feira,12,8,3,2025
113,2025-01-11,Sábado,11,1,1,2025
114,2025-01-28,Terça-feira,28,1,1,2025
115,2025-04-18,Sexta-feira,18,4,2,2025
116,2025-03-04,Terça-feira,4,3,1,2025
117,2025-03-08,Sábado,8,3,1,2025
118,2025-08-15,Sexta-feira,15,8,3,2025
119,2025-07-22,Terça-feira,22,7,3,2025
120,2025-06-21,Sábado,21,6,2,2025
121,2025-11-05,Quarta-feira,5,11,4,2025
122,2025-05-31,Sábado,31,5,2,2025
123,2025-06-30,Segunda-feira,30,6,2,2025
124,2025-05-28,Quarta-feira,28,5,2,2025
125,2025-03-07,Sexta-feira,7,3,1,2025
126,2025-01-16,Quinta-feira,16,1,1,2025
127,2025-04-09,Quarta-feira,9,4,2,2025
128,2025-05-08,Quinta-feira,8,5,2,2025
129,2025-08-19,Terça-feira,19,8,3,2025
130,2025-04-12,Sábado,12,4,2,2025
131,2025-07-24,Quinta-feira,24,7,3,2025
132,2025-09-26,Sexta-feira,26,9,3,2025
133,2025-03-21,Sexta-feira,21,3,1,2025
134,2025-02-12,Quarta-feira,12,2,1,2025
135,2025-09-10,Quarta-feira,10,9,3,2025
136,2025-05-02,Sexta-feira,2,5,2,2025
137,2025-07-14,Segunda-feira,14,7,3,2025
138,2025-10-30,Quinta-feira,30,10,4,2025
139,2025-06-23,Segunda-feira,23,6,2,2025
140,2025-04-13,Domingo,13,4,2,2025
141,2025-10-23,Quinta-feira,23,10,4,2025
142,2025-05-29,Quinta-feira,29,5,2,2025
143,2025-04-27,Domingo,27,4,2,2025
144,2025-05-21,Quarta-feira,21,5,2,2025
145,2025-03-16,Domingo,16,3,1,2025
146,2025-05-07,Quarta-feira,7,5,2,2025
147,2025-02-13,Quinta-feira,13,2,1,2025
148,2025-07-20,Domingo,20,7,3,2025
149,2025-06-20,Sexta-feira,20,6,2,2025
150,2025-04-23,Quarta-feira,23,4,2,2025
151,2025-02-20,Quinta-feira,20,2,1,2025
152,2025-06-13,Sexta-feira,13,6,2,2025
153,2025-10-28,Terça-feira,28,10,4,2025
154,2025-04-19,Sábado,19,4,2,2025
155,2025-08-18,Segunda-feira,18,8,3,2025
156,2025-02-25,Terça-feira,25,2,1,2025
157,2025-08-26,Terça-feira,26,8,3,2025
158,2025-05-26,Segunda-feira,26,5,2,2025
159,2025-08-10,Domingo,10,8,3,2025
160,2025-03-26,Quarta-feira,26,3,1,2025
161,2025-06-07,Sábado,7,6,2,2025
162,2025-05-20,Terça-feira,20,5,2,2025
163,2025-02-06,Quinta-feira,6,2,1,2025
164,2025-09-07,Domingo,7,9,3,2025
165,2025-03-22,Sábado,22,3,1,2025
166,2025-02-27,Quinta-feira,27,2,1,2025
167,2025-06-25,Quarta-feira,25,6,2,2025
168,2025-03-10,Segunda-feira,10,3,1,2025
169,2025-03-03,Segunda-feira,3,3,1,2025
170,2025-08-16,Sábado,16,8,3,2025
171,2025-02-17,Segunda-feira,17,2,1,2025
172,2025-10-25,Sábado,25,10,4,2025
173,2025-07-08,Terça-feira,8,7,3,2025
174,2025-05-09,Sexta-feira,9,5,2,2025
175,2025-06-14,Sábado,14,6,2,2025
176,2025-02-26,Quarta-feira,26,2,1,2025
177,2025-08-07,Quinta-feira,7,8,3,2025
178,2025-02-15,Sábado,15,2,1,2025
179,2025-10-10,Sexta-feira,10,10,4,2025
180,2025-05-13,Terça-feira,13,5,2,2025
181,2025-04-25,Sexta-feira,25,4,2,2025
182,2025-05-18,Domingo,18,5,2,2025
183,2025-06-24,Terça-feira,24,6,2,2025
184,2025-10-18,Sábado,18,10,4,2025
185,2025-02-02,Domingo,2,2,1,2025
186,2025-11-02,Domingo,2,11,4,2025
187,2025-07-30,Quarta-feira,30,7,3,2025
188,2025-08-25,Segunda-feira,25,8,3,2025
189,2025-11-04,Terça-feira,4,11,4,2025
190,2025-09-01,Segunda-feira,1,9,3,2025
191,2025-08-23,Sábado,23,8,3,2025
192,2025-02-23,Domingo,23,2,1,2025
193,2025-10-26,Domingo,26,10,4,2025
194,2025-07-03,Quinta-feira,3,7,3,2025
195,2025-04-11,Sexta-feira,11,4,2,2025
196,2025-06-27,Sexta-feira,27,6,2,2025
197,2025-01-18,Sábado,18,1,1,2025
198,2025-02-11,Terça-feira,11,2,1,2025
199,2025-08-04,Segunda-feira,4,8,3,2025
200,2025-06-22,Domingo,22,6,2,2025
201,2025-04-17,Quinta-feira,17,4,2,2025
202,2025-04-28,Segunda-feira,28,4,2,2025
203,2025-09-13,Sábado,13,9,3,2025
204,2025-08-22,Sexta-feira,22,8,3,2025
205,2025-07-06,Domingo,6,7,3,2025
206,2025-01-07,Terça-feira,7,1,1,2025
207,2025-01-02,Quinta-feira,2,1,1,2025
208,2025-04-16,Quarta-feira,16,4,2,2025
209,2025-02-08,Sábado,8,2,1,2025
210,2025-02-24,Segunda-feira,24,2,1,2025
211,2025-09-05,Sexta-feira,5,9,3,2025
212,2025-04-22,Terça-feira,22,4,2,2025
213,2025-04-20,Domingo,20,4,2,2025
214,2025-03-27,Quinta-feira,27,3,1,2025
