id_veiculo,tipo_veiculo,placa_veiculo,descricao_veic
11,Ônibus,EFG1234,Ônibus executivo
12,Van,HIJ5678,Van corporativa
13,Ônibus,KLM9012,Ônibus escolar
14,Van,NOP3456,Van de carga leve
15,Ônibus,QRS7890,Ônibus turístico
16,Van,TUV1234,Van familiar
17,Ônibus,WXY5678,Ônibus articulado
18,Van,ZAB9012,Van utilitária
19,Ônibus,CDE3456,Ônibus rodoviário executivo
20,Van,FGH7890,Van de passageiros
21,Ônibus,IJK1234,Ônibus municipal
22,Van,LMN5678,Van de transporte
23,Ônibus,OPQ9012,Ônibus interestadual
24,Van,RST3456,Van executiva
25,Ônibus,UVW7890,Ônibus fretado executivo
26,Van,XYZ1234,Van escolar
27,Ônibus,ABC5678,Ônibus urbano climatizado
28,Van,DEF9012,Van de luxo
29,Ônibus,GHI3456,Ônibus leito
30,Van,JKL7890,Van padrão
31,Van,JSV4S69,Amet aut cum aspernatur officiis tempore.
32,Onibus,IZX6E96,Vero suscipit modi facilis est rem.
33,Micro-ônibus,GVB8S49,Perferendis fuga possimus sequi.
34,Onibus,ERS1V10,Omnis cum similique voluptatum quos voluptate.
35,Van,LJC4A45,Totam omnis magnam.
36,Onibus,TRU8S20,Nulla nam corrupti labore.
37,Onibus,TDE2S15,Adipisci rerum corrupti nihil facere.
38,Onibus,UBH7G49,Repellat quaerat quisquam sequi.
39,Van,HZD2X31,Aliquam ea quisquam doloremque.
40,Onibus,UWV9X93,Dolore cumque corporis nam omnis quibusdam.
41,Van,GKY6Y60,Sint architecto qui omnis.
42,Van,HAT4B71,Itaque dolorum omnis quaerat nemo.
43,Onibus,RNS2O52,Possimus modi maiores facere.
44,Van,GZS4J66,Alias id sapiente pariatur at debitis.
45,Micro-ônibus,SUW3X32,Neque minima inventore sapiente odit accusantium.
46,Van,JCC3Q57,Accusamus sunt id nemo perferendis.
47,Micro-ônibus,DNL0S66,Tempora enim excepturi quibusdam.
48,Van,TMG4D67,Quisquam enim cupiditate dolore ipsa.
49,Onibus,SLX2S80,Necessitatibus maxime commodi reprehenderit.
50,Onibus,PBJ2J64,Delectus sint et itaque odit.
51,Onibus,OMZ0P86,Rerum deleniti voluptates illum quam.
52,Van,WNQ9O02,Debitis nobis possimus totam eum adipisci.
53,Micro-ônibus,CDV4B73,Impedit atque itaque omnis libero.
54,Van,OJX4D92,Sunt quidem ratione omnis deleniti atque.
55,Onibus,DQI3Z15,Temporibus cum occaecati molestiae.
56,Micro-ônibus,HLP7A62,Eaque incidunt quisquam.
57,Micro-ônibus,RQT0X08,Non quam fugiat cum.
58,Onibus,ZTZ0K58,Similique maiores voluptatem dolorum enim quod.
59,Van,GSM6Y90,Fuga qui eveniet hic ducimus.
