id_calendario,id_funcionario,id_veiculo,valor_despesa,tipo_despesa,descricao,hora_compra
22,21,11,150.00,MANUTENCAO,Troca de filtro de ar,12:00:00
61,21,12,600.00,MANUTENCAO,Revisão elétrica,12:00:00
168,21,13,400.00,MANUTENCAO,Troca de correia,12:00:00
5,21,14,800.00,MANUTENCAO,Reparo no sistema de ar,12:00:00
216,21,15,1200.00,MANUTENCAO,Troca de amortecedores,12:00:00
261,21,16,350.00,MANUTENCAO,Revisão preventiva,12:00:00
76,21,17,300.00,MANUTENCAO,Troca de pastilhas de freio,12:00:00
54,21,18,280.00,MANUTENCAO,Alinhamento e balanceamento,12:00:00
232,21,19,320.00,MANUTENCAO,Troca de óleo e filtro,12:00:00
276,21,20,1800.00,MANUTENCAO,Reparo na transmissão,12:00:00
213,21,21,250.00,MANUTENCAO,Troca de velas,12:00:00
181,21,22,450.00,MANUTENCAO,Revisão do sistema de freio,12:00:00
215,21,23,700.00,MANUTENCAO,Troca de radiador,12:00:00
253,21,24,950.00,MANUTENCAO,Reparo na carroceria,12:00:00
217,21,25,550.00,MANUTENCAO,Troca de para-brisa,12:00:00
272,21,26,1100.00,MANUTENCAO,Revisão completa,12:00:00
162,21,27,480.00,MANUTENCAO,Troca de bomba de combustível,12:00:00
70,21,28,750.00,MANUTENCAO,Reparo no sistema de direção,12:00:00
51,21,29,200.00,MANUTENCAO,Troca de lanternas,12:00:00
271,21,30,650.00,MANUTENCAO,Revisão do sistema de ar condicionado,12:00:00
278,21,29,236.72,MANUTENCAO,Quam quisquam alias nobis suscipit.,12:00:00
189,21,11,1859.46,MANUTENCAO,Ex officiis animi nesciunt adipisci.,12:00:00
5,21,15,1727.50,MANUTENCAO,Praesentium nulla aliquid provident magni.,12:00:00
252,21,18,897.49,MANUTENCAO,Et possimus nostrum consequatur quidem.,12:00:00
196,21,12,2854.19,MANUTENCAO,Eius pariatur eveniet ipsum at.,12:00:00
220,21,28,1294.22,MANUTENCAO,Voluptate est rerum fugit.,12:00:00
269,21,17,752.31,MANUTENCAO,Quibusdam modi porro maxime.,12:00:00
103,21,12,718.11,MANUTENCAO,Quis placeat facere ratione.,12:00:00
19,21,16,800.80,MANUTENCAO,Placeat quidem optio.,12:00:00
24,21,31,4856.80,MANUTENCAO,Explicabo odio reprehenderit.,12:00:00
55,21,27,4775.97,MANUTENCAO,Expedita quas exercitationem alias enim dignissimos.,12:00:00
33,21,11,485.95,MANUTENCAO,Odit blanditiis magni itaque iure a.,12:00:00
53,21,34,1931.84,MANUTENCAO,Ea nulla odio perspiciatis eum rerum.,12:00:00
57,21,34,422.27,MANUTENCAO,Doloremque aspernatur sapiente adipisci suscipit.,12:00:00
19,21,32,1366.67,MANUTENCAO,Expedita quisquam ipsa ipsam ab quaerat commodi.,12:00:00
108,21,29,1638.64,MANUTENCAO,Quis assumenda fugiat quis nemo nam illo.,12:00:00
