id_calendario,id_forma_pagamento,id_passageiro,id_origem,id_destino,valor_receita,hora_compra,id_evento
12,1,11,11,12,6.20,07:15:00,
185,1,12,12,13,5.80,08:15:00,
40,1,13,13,14,7.50,09:15:00,
9,1,14,14,15,6.90,10:15:00,
186,1,19,12,13,5.80,13:44:50.886393,
121,1,21,12,13,5.80,05:53:22.409329,
97,1,13,12,13,5.80,18:33:19.84439,
49,1,24,25,19,19.21,15:19:47.377083,
97,1,23,12,13,5.80,12:53:17.240195,
186,1,20,21,22,12.97,17:09:55.854056,
259,1,26,11,12,6.20,09:57:52.868282,
97,1,25,12,13,5.80,09:08:53.167133,
259,1,20,13,14,7.50,02:40:15.327366,
81,1,12,25,19,19.21,22:57:53.975339,
3,1,17,11,12,6.20,13:17:16.083296,
259,1,15,12,13,5.80,02:39:56.109682,
49,1,28,11,12,6.20,23:44:35.129579,
49,1,30,22,30,15.03,06:53:47.699883,
189,1,33,14,15,6.90,00:08:01.627905,
121,1,36,25,19,19.21,14:26:31.170839,
3,1,34,21,22,12.97,09:09:48.58215,
3,1,21,14,15,6.90,18:33:48.00154,
186,1,30,12,13,5.80,03:25:59.659348,
3,1,16,11,12,6.20,11:56:30.297752,
186,1,11,25,19,19.21,11:09:17.849139,
186,1,20,13,19,11.08,00:40:53.35518,
97,1,22,13,19,11.08,05:15:03.750779,
186,1,37,22,30,15.03,09:55:23.654734,
259,1,29,18,28,9.63,19:28:28.775609,
186,1,37,12,13,5.80,14:14:07.990922,
97,1,24,14,15,6.90,07:51:03.902545,
186,1,40,24,16,9.94,15:18:54.000848,
81,1,27,18,28,9.63,20:36:01.146419,
186,1,22,11,12,6.20,06:51:16.055404,
186,1,17,22,30,15.03,09:10:21.192806,
3,1,29,24,16,9.94,09:56:03.145116,
189,1,21,22,30,15.03,06:21:37.875701,
121,1,33,21,22,12.97,14:10:04.528025,
49,1,39,22,14,19.53,09:58:15.90035,
81,1,31,11,12,6.20,18:56:09.660202,
259,1,15,14,15,6.90,02:14:04.426666,
3,1,39,13,14,7.50,20:19:27.085633,
3,1,22,22,14,19.53,18:07:32.362651,
121,1,26,14,15,6.90,12:13:05.954245,
186,1,26,22,14,19.53,21:47:48.42997,
3,1,29,14,15,6.90,01:16:25.320422,
3,1,39,18,28,9.63,12:52:28.022902,
259,1,27,28,17,6.31,08:51:50.744214,
81,1,40,13,14,7.50,20:39:22.903489,
121,1,15,24,16,9.94,07:09:40.606515,
3,1,27,11,12,6.20,13:17:46.904976,
186,1,39,13,19,11.08,08:06:33.771618,
81,1,41,24,16,9.94,15:22:13.6642,
49,1,26,12,13,5.80,12:46:25.231536,
